id,home_project,project_count,issue_count,avg_bot_ratio
Neilblaze,apache_apisix,1,17,0.17647058823529413
flearc,apache_apisix,1,10,0.3
lrfdehao,apache_apisix,1,1,0.0
mikyll,apache_apisix,1,9,0.4444444444444444
mangolost,apache_apisix,1,1,0.0
acronymor,apache_apisix,1,1,0.0
rahulracker7539,apache_apisix,1,3,0.0
dilinliu1116,apache_apisix,1,1,0.0
akshayparseja,apache_apisix,1,1,0.0
smileby,apache_apisix,1,24,0.16666666666666666
nfrankel,apache_apisix,1,23,0.391304347826087
pavankumar-siripurapu,apache_apisix,1,2,0.0
adam-huganir,apache_apisix,1,2,0.0
dimon-v,apache_apisix,1,2,0.5
laper32,apache_apisix,1,1,0.0
winnie1228,apache_apisix,1,2,1.0
jzhao20230918,apache_apisix,1,5,0.4
workman-Lu,apache_apisix,1,1,0.0
AlinsRan,apache_apisix,1,57,0.19298245614035087
brunopadz,apache_apisix,1,1,0.0
jujiale,apache_apisix,1,25,0.16
Jamel-jun,apache_apisix,1,3,0.3333333333333333
zhoujiexiong,apache_apisix,1,13,0.46153846153846156
guliuliu1,apache_apisix,1,2,0.0
wfy-belief,apache_apisix,1,1,0.0
ShenFeng312,apache_dubbo,2,29,0.0
kellyseeme,apache_apisix,1,36,0.1111111111111111
thechromosomes,apache_apisix,1,1,0.0
ronnybremer,apache_apisix,1,1,0.0
mayeter,apache_apisix,1,1,0.0
winneryong,apache_apisix,1,1,0.0
Joeydelarago,apache_apisix,1,1,0.0
personage-hub,apache_apisix,1,1,0.0
sudhirs649,apache_apisix,1,1,0.0
yuweizzz,apache_apisix,1,7,0.0
zwtesttt,apache_apisix,1,1,0.0
SquirHong,apache_apisix,1,2,0.0
Pepperpotato,apache_apisix,1,1,0.0
cnn911,apache_apisix,1,1,0.0
Mararesliu,apache_apisix,1,6,0.5
PlasticJonbenetDoll,apache_apisix,1,13,0.23076923076923078
ronething,apache_apisix,1,39,0.10256410256410256
bsudhir6,apache_apisix,1,1,0.0
qihaiyan,apache_apisix,1,19,0.15789473684210525
lingbao08,apache_apisix,1,1,0.0
Jazzylol,apache_apisix,1,2,0.0
